amfi_code,scheme_name,CAGR_3Y,Sharpe_Ratio,alpha,expense_ratio_pct,max_drawdown_pct,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score,overall_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,34.00091602163293,1.4482911703262598,0.2698375144191807,1.46,-11.265729075028275,97.5,100.0,85.0,45.0,82.5,86.25,1
120505,ICICI Pru Midcap Fund - Regular - Growth,31.777537151234704,1.1801011976606492,0.2926358334175106,1.36,-18.18851357211629,90.0,90.0,95.0,65.0,40.0,82.25,2
120843,Kotak Flexicap Fund - Regular - Growth,29.58277033726251,1.3067439695428409,0.2733046503830605,1.45,-12.97396816518679,85.0,97.5,90.0,47.5,70.0,82.0,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.44245942195612,1.093698743534631,0.2719535450128533,1.38,-16.217208574644847,92.5,85.0,87.5,60.0,52.5,80.75,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,32.48742855621496,1.0265242847993,0.2119482701352573,0.8,-12.588275606922515,95.0,77.5,70.0,72.5,72.5,80.0,5
119094,Axis Midcap Fund - Regular - Growth,35.11180209642853,0.9982309868636412,0.2607666908004223,1.38,-20.960883862039196,100.0,75.0,80.0,60.0,32.5,77.0,6
119551,SBI Bluechip Fund - Regular Plan - Growth,30.456524420302888,1.2082665673727175,0.2320100716063508,1.54,-15.012385498645331,87.5,92.5,77.5,26.25,60.0,74.8125,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,29.178901578393777,1.2349300257743294,0.2827036785246582,1.6,-16.39674294693263,82.5,95.0,92.5,11.25,50.0,73.6875,8
101206,ABSL Frontline Equity Fund - Regular - Growth,28.96769452874166,1.0272133278753697,0.2139978477605121,1.6,-11.291596329323072,80.0,80.0,72.5,11.25,80.0,68.1875,9
119598,SBI Small Cap Fund - Regular Plan - Growth,26.66992200118774,0.9453082575156097,0.3033696538698332,1.43,-28.706005721764548,72.5,67.5,100.0,50.0,12.5,67.375,10
149323,DSP Midcap Fund - Regular - Growth,26.869990828902203,1.1321218524747243,0.2659857754204304,1.61,-17.24810575345138,75.0,87.5,82.5,7.5,47.5,66.75,11
149324,DSP Small Cap Fund - Regular - Growth,27.000426614519245,0.9497958246616032,0.3005787817097677,1.52,-31.171900300634213,77.5,70.0,97.5,36.25,10.0,66.6875,12
118632,Nippon India Large Cap Fund - Regular - Growth,22.652359830098632,1.0816591793457042,0.2182939790460864,1.51,-17.41407508665723,67.5,82.5,75.0,41.25,45.0,66.5625,13
119552,SBI Bluechip Fund - Direct Plan - Growth,16.267372294624916,0.9532794968660104,0.1986859936686296,0.66,-11.803493502764296,45.0,72.5,65.0,92.5,75.0,66.0,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,18.434488610520173,0.7757902498211205,0.1772975492753176,0.92,-15.200013055606398,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.25,15
118635,Nippon India ETF Nifty 50 BeES,20.00820838047148,0.664856998549062,0.1513635464823924,0.89,-11.650624505409091,60.0,55.00000000000001,45.0,70.0,77.5,59.0,16
118633,Nippon India Large Cap Fund - Direct - Growth,21.08997654925684,0.6452074382933215,0.1564383594816966,0.72,-18.62974313859551,65.0,50.0,47.5,88.75,37.5,58.5625,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,19.66726206830185,0.8170993373494367,0.1704875680341269,1.57,-10.85986215250232,57.49999999999999,62.5,55.00000000000001,17.5,85.0,55.0,18
120503,ICICI Pru Bluechip Fund - Regular - Growth,13.978381933703044,0.7979728586052847,0.1770330236584407,1.42,-13.897862823061637,40.0,60.0,60.0,52.5,67.5,53.625,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.748035533586012,0.9262873467360144,0.2087301008694233,1.52,-15.27259422823477,42.5,65.0,67.5,36.25,55.00000000000001,53.4375,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,18.421996537444542,0.6488787755249532,0.1625385327998104,1.41,-19.82565826298267,52.5,52.5,52.5,55.00000000000001,35.0,51.125,21
120507,ICICI Pru Liquid Fund - Regular - Growth,7.394286300360076,0.4957233929533123,0.0674621041109953,0.74,-0.0977314004592555,30.0,45.0,25.0,85.0,100.0,48.0,22
