amfi_code,scheme_name,benchmark,tracking_error
148567,Mirae Asset Large Cap Fund - Regular - Growth,NIFTY50,0.19181716772265714
148567,Mirae Asset Large Cap Fund - Regular - Growth,NIFTY100,0.18786716876053136
120505,ICICI Pru Midcap Fund - Regular - Growth,NIFTY50,0.22831055627390512
120505,ICICI Pru Midcap Fund - Regular - Growth,NIFTY100,0.23251471203241825
120843,Kotak Flexicap Fund - Regular - Growth,NIFTY50,0.20494646612315867
120843,Kotak Flexicap Fund - Regular - Growth,NIFTY100,0.20641014797016652
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,NIFTY50,0.22808080980196954
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,NIFTY100,0.22483819480215872
120504,ICICI Pru Bluechip Fund - Direct - Growth,NIFTY50,0.18835967567495207
120504,ICICI Pru Bluechip Fund - Direct - Growth,NIFTY100,0.18731172438825264
